,MusicalArtist,River,Island,Species,Automobile,RacingDriver,Dog,Newspaper,ReligiousBuilding,Mineral,AthleticsPlayer,Company,Album,CyclingCompetition,Artwork,ChristianBishop,Film,MetroStation,MotorcycleRider,Building,VolleyballPlayer,Aircraft,Diocese,Road,Disease,SoccerClub,RailwayStation,IceHockeyPlayer,MusicGenre,MilitaryPerson,EthnicGroup,TennisPlayer,AmericanFootballPlayer,SportsTeam,TelevisionShow,Politician,BasketballPlayer,Cardinal,MilitaryConflict,Saint,Airport,Athlete,Software,ChemicalCompound,CelestialBody,Game,MilitaryUnit,Museum,Sport,SportFacility,FictionalCharacter,Swimmer,TelevisionSeason,SoccerPlayer,SerialKiller,Cyclist,SportsSeason,Book,Mountain,Decoration,Monarch,Ship,PopulatedPlace,University,Language,SportsEvent,Country,Referee,Song,VideoGame
MusicalArtist,398,1,0,0,6,2,2,9,1,1,3,6,120,1,7,0,12,1,4,0,3,0,0,2,2,3,0,4,89,1,3,1,2,5,51,10,6,1,2,1,0,11,7,0,0,7,0,5,1,3,14,9,11,1,13,3,0,22,1,2,7,0,2,9,4,3,3,0,56,6
River,1,739,8,7,2,0,2,0,2,4,0,2,0,0,3,0,1,1,0,3,0,0,1,32,1,1,1,0,4,0,4,0,0,2,0,1,0,0,7,2,0,1,2,0,2,0,3,12,1,0,0,0,0,0,0,0,0,1,27,3,7,7,34,0,6,0,21,0,1,1
Island,0,23,578,19,0,0,4,0,17,3,0,1,0,1,9,1,2,3,0,10,1,1,4,5,1,0,2,0,1,4,19,0,0,0,0,5,0,0,12,13,6,0,2,2,2,5,8,13,5,1,1,0,2,0,1,1,0,9,30,4,13,11,51,3,4,0,43,0,1,3
Species,0,8,12,726,3,0,44,2,1,2,2,0,0,0,4,1,1,1,0,2,0,2,0,1,27,1,1,0,5,0,6,0,0,0,1,0,0,0,0,0,1,0,1,13,3,5,0,10,3,2,3,0,1,0,4,0,1,8,9,1,1,2,5,1,10,0,19,0,2,2
Automobile,0,0,1,2,793,32,2,1,1,1,1,28,0,1,4,0,0,0,2,1,0,18,1,3,0,0,1,0,3,1,0,1,0,1,2,0,0,0,1,0,0,2,12,2,5,1,1,2,10,4,0,1,1,0,4,1,0,0,1,0,0,3,0,0,2,1,2,0,1,2
RacingDriver,3,0,0,0,15,717,2,1,0,0,15,1,0,6,1,0,1,0,68,0,0,2,0,2,0,1,0,2,1,5,0,2,1,1,5,5,3,1,1,0,3,33,1,0,0,2,0,1,9,0,0,6,2,0,8,9,1,2,0,3,2,3,0,2,0,4,1,3,2,1
Dog,0,0,4,36,5,0,795,1,0,3,1,4,0,0,12,0,1,2,2,1,1,0,0,0,21,1,0,0,1,1,1,2,0,2,0,0,0,0,0,0,0,1,0,2,0,5,2,1,6,0,6,3,0,3,2,0,0,7,0,5,4,1,5,0,3,0,3,1,2,1
Newspaper,4,0,1,2,7,1,3,621,2,0,0,21,6,0,6,3,3,2,1,3,1,1,1,2,1,5,0,0,7,4,4,3,0,1,34,38,1,7,3,3,0,4,9,0,2,5,3,12,7,4,3,1,5,1,5,2,3,32,1,4,5,0,5,7,12,4,11,4,4,3
ReligiousBuilding,0,5,1,3,0,0,1,3,551,2,0,1,0,0,81,9,0,6,0,64,0,0,24,2,0,0,3,0,1,1,2,0,0,0,1,1,0,12,0,46,0,0,2,0,1,1,1,44,0,3,0,0,1,0,2,0,0,3,7,5,13,1,41,6,5,0,2,0,1,1
Mineral,0,4,5,12,3,1,5,0,4,827,1,1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,30,9,6,0,6,3,0,0,0,0,0,1,0,0,0,13,0,0,0,1,0,3,0,7,0,2,2
AthleticsPlayer,4,1,0,0,1,3,1,1,1,0,657,0,0,11,0,0,2,2,7,1,7,1,0,1,2,3,0,3,1,2,2,2,4,6,2,23,12,1,1,3,3,55,1,1,0,0,0,1,23,5,2,48,1,4,7,7,0,0,1,2,5,4,0,4,0,11,2,3,2,0
Company,12,8,1,2,58,10,6,42,2,0,0,355,4,3,2,1,6,7,8,10,0,30,0,12,4,9,8,1,13,2,3,2,0,4,30,17,2,2,4,0,7,2,56,8,6,15,7,20,11,2,7,2,10,2,3,2,1,6,3,3,3,15,16,17,6,1,31,3,4,11
Album,137,0,1,0,2,0,0,5,1,1,0,8,472,1,5,0,15,0,0,1,0,0,0,0,0,0,0,1,45,0,1,1,3,3,26,1,0,0,0,0,0,0,5,0,0,2,0,1,1,1,6,2,10,2,5,0,0,15,0,1,0,0,0,2,0,2,1,1,172,1
CyclingCompetition,0,1,0,0,0,0,0,1,1,0,2,0,0,852,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,48,0,1,12,0,0,1,0,0,0,16,1,0,1,0
Artwork,0,4,0,3,2,0,5,5,31,1,0,0,0,1,671,0,0,3,0,17,0,0,0,1,7,0,0,0,5,1,3,0,0,1,3,2,0,2,1,27,1,0,3,1,3,7,1,38,2,0,9,0,2,0,4,1,1,34,2,6,23,4,5,0,8,0,3,0,3,3
ChristianBishop,2,0,3,1,1,1,2,10,28,0,0,0,0,0,5,326,3,1,1,4,0,0,58,1,3,0,0,1,1,8,3,0,1,1,0,31,0,224,6,93,1,2,1,0,0,0,2,7,1,1,1,2,3,4,12,2,2,7,0,5,56,0,6,14,8,0,3,0,1,0
Film,10,3,5,3,5,0,5,10,0,0,0,8,4,0,11,0,418,1,1,4,1,0,0,1,2,1,0,0,2,1,7,0,0,0,25,8,0,0,2,3,0,10,5,1,1,9,2,6,3,1,73,5,98,0,42,0,2,102,2,1,4,2,3,1,2,2,4,3,13,22
MetroStation,1,1,2,0,1,0,0,0,7,0,0,0,0,0,4,1,0,806,0,21,0,1,0,7,0,0,54,0,0,3,0,1,0,2,0,3,0,0,1,0,1,0,2,1,1,0,3,13,2,2,1,0,1,0,0,0,1,1,1,3,1,1,6,1,1,0,0,0,1,0
MotorcycleRider,0,0,0,0,2,71,2,1,0,1,4,2,1,4,1,0,1,0,777,0,5,0,0,1,2,5,0,3,0,1,1,2,0,1,2,1,0,0,0,0,0,18,0,0,0,3,1,1,2,0,0,7,0,0,4,16,1,0,0,2,0,2,0,0,2,6,0,3,1,0
Building,0,5,1,2,1,0,1,3,74,0,0,8,0,1,55,7,1,16,1,455,1,2,2,5,0,1,8,0,2,1,2,0,0,0,3,16,0,3,5,4,2,0,5,1,1,1,1,117,6,9,0,1,2,1,2,1,3,4,4,4,34,1,50,8,3,1,9,0,1,2
VolleyballPlayer,2,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0,811,2,0,1,1,9,0,9,0,0,0,5,2,0,1,2,17,0,0,1,0,15,0,0,1,4,0,0,6,1,1,15,0,28,0,0,5,0,0,2,1,0,1,0,0,6,0,1,0,0
Aircraft,0,0,6,6,39,5,4,1,1,0,1,14,0,0,3,0,0,1,1,1,0,679,0,2,1,0,0,1,1,15,1,1,0,1,0,2,0,0,5,0,25,2,11,1,5,3,42,2,4,1,3,0,0,0,7,1,0,1,1,4,1,35,2,0,3,3,2,1,1,7
Diocese,1,2,3,0,0,0,0,1,33,0,0,1,0,0,0,36,0,2,0,1,0,0,784,0,0,0,0,0,0,0,4,0,0,0,0,3,0,16,1,25,0,0,0,0,2,0,0,5,0,0,1,0,0,0,2,0,0,1,0,1,7,0,16,7,1,0,3,0,1,0
Road,0,29,2,2,2,1,3,0,5,0,0,4,0,5,1,0,1,8,1,7,0,0,0,790,1,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,1,0,1,2,4,6,1,5,0,1,2,0,0,0,0,1,19,0,0,2,25,1,2,0,6,0,1,0
Disease,1,0,0,25,2,0,11,1,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,744,0,1,0,1,0,5,0,0,0,2,0,0,0,0,1,0,1,9,93,4,5,2,1,6,0,3,0,0,1,3,1,0,4,0,2,2,2,1,1,8,3,5,0,1,1
SoccerClub,1,1,0,0,0,0,0,2,2,0,2,3,0,0,1,0,1,2,5,4,18,0,1,1,0,512,1,11,0,0,1,2,0,0,2,2,7,1,1,1,0,11,0,0,0,3,2,0,17,54,1,6,0,63,0,7,79,1,2,4,0,0,4,2,1,92,3,14,5,4
RailwayStation,0,1,2,0,2,0,0,0,4,0,0,3,0,0,2,1,0,121,0,12,0,1,0,14,0,0,745,0,0,0,0,1,0,0,0,2,0,1,1,0,7,0,1,2,0,0,2,5,0,4,0,0,0,0,2,0,1,1,1,1,0,1,14,1,2,1,1,0,0,0
IceHockeyPlayer,0,0,0,0,2,1,0,2,0,0,7,0,0,0,0,0,2,1,2,0,7,0,0,0,1,7,1,768,0,1,0,2,14,0,0,5,19,0,0,2,0,44,0,0,0,1,0,0,2,0,0,4,1,36,4,5,2,0,0,0,3,0,1,1,0,11,0,0,0,1
MusicGenre,56,1,0,1,2,0,2,4,0,0,0,8,19,0,8,0,2,1,1,0,0,1,0,2,10,1,0,0,708,0,9,3,0,4,9,1,0,0,1,0,0,1,4,1,0,8,0,2,4,1,1,1,4,0,1,0,0,4,0,0,3,0,1,0,15,1,6,0,47,1
MilitaryPerson,0,0,7,0,0,2,3,9,2,0,3,0,0,1,4,3,2,1,1,5,1,29,1,1,1,4,1,3,1,326,7,1,2,1,4,78,0,26,81,10,9,8,0,2,1,4,73,4,4,1,7,6,1,4,25,4,0,9,4,14,78,56,7,0,4,2,10,1,0,1
EthnicGroup,2,15,11,11,0,0,10,2,2,1,2,1,0,0,8,0,0,1,0,4,0,1,7,1,12,1,0,0,10,1,407,0,0,1,4,15,0,1,29,11,2,0,1,1,0,7,14,13,8,1,5,0,3,3,7,0,0,14,5,2,33,0,50,3,101,1,111,0,2,2
TennisPlayer,1,0,0,0,3,4,2,0,1,0,15,0,0,0,1,0,2,0,0,0,3,0,0,0,2,2,0,1,0,1,2,809,2,2,3,1,8,0,0,0,0,28,1,3,0,4,0,0,7,1,3,5,1,4,4,2,2,1,0,1,2,0,0,2,1,21,0,0,0,2
AmericanFootballPlayer,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,11,0,0,0,0,845,9,3,1,13,0,0,0,0,23,0,0,0,1,0,0,0,1,1,0,1,6,8,2,3,1,0,0,0,0,0,1,0,12,0,2,1,1
SportsTeam,4,0,0,0,1,0,0,0,0,0,11,1,0,0,1,0,0,1,0,0,2,0,0,0,1,4,0,0,1,0,0,6,2,856,4,0,1,0,0,0,0,12,0,0,0,2,1,0,11,0,1,8,1,0,2,1,0,0,0,1,1,2,1,0,0,16,3,0,0,1
TelevisionShow,12,1,2,6,6,1,1,19,0,0,1,6,8,4,3,0,5,2,1,2,0,3,0,1,5,3,0,1,8,0,3,1,1,15,686,1,1,0,1,2,0,7,9,1,2,14,0,4,5,1,5,6,29,3,5,1,0,16,0,2,0,0,1,5,1,8,4,2,13,4
Politician,7,3,1,0,0,4,3,44,2,0,5,5,0,1,7,2,1,0,3,7,2,1,1,1,4,2,0,1,2,38,4,0,2,1,10,437,2,26,22,10,4,11,0,2,2,0,17,9,9,2,1,7,2,4,32,4,0,20,0,11,47,2,3,19,6,4,65,8,4,4
BasketballPlayer,7,0,0,0,1,1,1,1,1,0,23,0,0,0,1,0,1,0,4,0,41,1,0,1,1,14,0,24,1,3,0,2,14,4,1,9,630,0,0,0,2,42,0,1,0,2,1,0,5,1,2,12,4,55,4,4,10,0,2,0,2,0,3,5,1,12,0,3,0,0
Cardinal,0,0,0,0,1,1,1,2,11,0,0,1,0,0,7,122,0,1,0,3,0,0,20,1,3,1,0,0,0,9,5,0,0,0,2,35,1,562,0,54,1,2,1,1,0,0,2,4,0,0,1,3,1,1,8,1,0,7,0,5,60,0,5,7,4,0,3,0,0,0
MilitaryConflict,0,14,8,0,2,1,3,2,3,0,0,0,0,2,13,1,2,3,0,1,0,7,2,3,3,0,0,1,5,39,31,0,0,5,3,19,0,3,341,13,5,2,0,0,2,4,120,2,7,2,10,1,1,0,8,0,0,12,4,10,122,47,11,1,3,2,45,1,1,7
Saint,2,2,7,3,1,0,1,1,55,2,0,0,0,0,53,41,3,1,0,2,0,0,27,0,5,0,0,2,1,8,14,0,0,0,2,8,1,55,5,437,0,1,1,0,3,2,1,7,1,0,5,2,0,0,28,0,0,36,3,9,81,4,18,3,9,1,0,0,5,1
Airport,0,2,5,2,2,0,0,0,1,0,4,7,0,0,1,1,2,11,0,9,0,31,0,10,1,2,10,1,0,8,0,0,0,0,1,3,0,0,4,1,738,0,7,0,2,0,31,2,5,11,1,0,1,2,1,0,0,1,5,0,0,6,9,1,2,1,12,0,1,2
Athlete,2,0,0,2,2,11,2,0,1,0,54,1,0,7,1,1,5,3,8,3,11,2,0,0,4,5,0,11,4,2,1,17,11,15,20,7,13,3,0,0,1,586,1,1,0,1,1,0,15,3,5,31,0,13,9,16,0,5,1,0,3,1,3,3,1,21,2,6,1,1
Software,1,1,0,2,9,0,2,5,1,0,0,8,4,0,1,0,3,1,0,2,0,3,0,4,8,0,0,0,5,0,0,1,0,0,4,0,0,0,0,0,1,1,815,2,6,11,1,4,1,1,2,1,0,0,1,0,0,5,0,2,0,0,0,6,9,1,0,0,4,21
ChemicalCompound,1,0,2,15,6,1,5,0,0,18,0,6,0,0,3,0,0,0,1,0,0,2,0,1,125,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,5,732,7,3,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2,6,0,4,0,0,1
CelestialBody,0,1,2,6,2,0,1,0,1,2,0,0,0,0,1,2,0,0,0,1,0,1,1,2,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,3,904,4,1,2,0,0,1,0,0,0,0,0,0,3,4,0,1,0,1,0,3,0,1,1,0,0
Game,0,0,3,1,0,1,5,11,1,0,0,5,4,0,7,0,3,0,1,2,3,1,1,0,8,2,0,0,1,0,2,2,0,2,10,1,2,1,2,2,0,1,24,1,5,677,3,3,26,0,11,0,4,0,2,0,0,22,4,2,1,1,2,1,9,11,2,1,0,63
MilitaryUnit,0,3,3,0,4,1,5,8,2,0,0,2,1,1,2,1,0,2,0,5,0,39,0,2,3,0,2,1,0,40,11,0,0,0,1,16,0,0,89,3,21,3,8,0,2,6,468,3,10,2,1,0,1,1,8,1,0,3,0,32,28,49,5,7,11,3,36,0,0,4
Museum,2,7,12,9,6,3,5,12,48,4,0,10,0,1,73,6,0,7,0,77,0,7,2,4,3,0,5,1,4,1,3,0,0,0,6,11,0,1,2,9,3,0,4,0,1,2,1,496,2,3,1,0,0,0,4,0,1,8,8,3,9,3,21,19,9,1,14,1,3,2
Sport,0,0,2,2,6,5,6,3,2,0,17,0,0,6,3,0,1,0,3,3,4,1,0,1,8,15,1,3,2,0,2,4,1,9,5,6,2,1,0,2,2,26,4,1,1,35,0,1,571,11,0,9,3,17,3,1,1,2,3,9,6,0,7,5,0,70,18,21,2,5
SportFacility,2,2,1,1,3,1,1,1,2,0,6,4,3,1,5,1,2,10,0,29,1,1,0,4,0,77,3,6,2,1,0,2,0,2,6,2,14,0,2,0,6,5,3,0,1,4,2,3,30,615,0,3,1,7,0,0,8,1,1,0,1,0,17,11,0,26,10,6,1,0
FictionalCharacter,7,0,2,6,2,1,5,7,1,0,0,4,2,1,9,0,38,0,1,2,0,1,1,0,7,0,0,0,0,10,2,1,2,2,19,6,5,1,6,4,0,6,3,1,7,24,1,0,1,0,432,2,87,1,35,1,0,91,0,2,15,4,0,3,3,2,2,2,3,77
Swimmer,1,1,1,1,3,1,1,1,0,0,64,3,0,0,1,0,3,1,1,4,19,0,0,0,2,7,0,3,1,4,0,5,0,8,6,9,9,1,1,0,0,42,1,0,0,0,0,2,14,2,0,671,2,36,4,6,1,0,0,0,2,0,0,4,0,5,0,5,1,0
TelevisionSeason,16,0,4,6,4,3,3,7,0,0,3,4,7,1,4,0,67,2,2,3,0,1,0,1,4,1,0,1,2,3,1,2,0,1,95,6,2,1,2,3,2,7,4,0,0,9,0,3,3,0,83,2,387,2,31,0,2,104,0,0,13,1,2,2,4,2,3,1,9,22
SoccerPlayer,2,0,0,0,0,1,2,1,0,0,3,0,0,1,0,1,2,1,1,1,30,3,0,0,1,79,0,25,0,2,0,4,5,1,2,7,28,1,0,1,0,23,1,0,0,1,1,0,3,0,2,6,1,618,3,7,33,1,0,0,3,2,2,1,1,12,0,31,1,2
SerialKiller,4,0,2,3,2,4,3,3,1,0,4,3,1,0,8,3,5,3,1,3,0,2,1,1,10,1,0,5,2,8,2,1,1,1,8,22,1,4,4,9,1,7,2,6,2,2,0,3,1,0,12,4,17,0,709,0,0,23,0,0,11,1,2,6,4,1,0,1,7,2
Cyclist,1,0,0,0,0,13,0,2,0,0,23,4,1,90,1,0,0,1,8,1,4,1,1,1,3,1,0,6,0,1,0,3,0,1,3,3,3,2,0,3,0,27,1,0,0,0,0,1,2,0,1,9,1,4,2,710,0,1,1,0,0,0,0,1,0,14,0,2,1,1
SportsSeason,0,0,0,0,1,3,0,1,1,0,2,1,0,1,3,1,0,0,7,0,17,0,0,0,0,163,0,4,0,0,0,4,9,1,6,5,18,0,0,0,0,5,0,0,0,2,0,0,5,10,0,3,2,57,0,2,564,1,1,0,0,1,1,0,0,51,0,5,1,1
Book,3,2,7,4,1,1,5,24,1,0,0,4,4,0,30,1,42,1,0,4,0,2,0,1,12,1,0,0,1,3,7,0,0,1,15,18,0,8,5,21,0,5,8,3,8,21,4,10,3,0,76,1,57,1,36,0,0,373,3,4,27,2,4,4,22,2,16,2,17,22
Mountain,0,26,28,12,2,2,1,1,12,6,0,0,0,10,6,0,0,5,0,2,0,2,1,29,2,1,6,0,0,0,8,0,0,1,2,1,0,0,7,3,2,0,0,0,11,0,4,9,4,2,2,0,0,0,5,1,1,6,650,1,3,7,40,1,8,1,23,0,2,1
Decoration,0,1,0,1,2,0,3,4,4,0,0,3,0,0,17,1,2,0,0,3,0,4,2,1,3,0,0,0,1,5,2,0,0,0,0,2,0,6,3,2,0,1,2,0,1,7,15,1,5,0,0,1,0,1,2,0,1,2,2,799,24,3,4,1,3,3,8,0,2,0
Monarch,1,4,2,2,3,2,3,2,2,0,3,2,0,0,18,5,1,1,1,11,0,1,3,0,2,1,0,0,2,15,15,1,0,2,0,35,0,21,57,32,0,5,0,0,4,1,8,2,2,0,5,3,1,1,17,1,0,18,2,11,563,5,11,6,11,0,27,0,4,2
Ship,0,8,11,1,7,1,0,1,2,1,0,9,0,0,3,0,2,2,0,11,0,18,0,2,1,0,3,1,2,21,0,0,2,2,0,1,0,2,32,3,1,1,4,4,1,2,36,2,1,1,3,0,0,0,2,0,0,3,2,5,3,729,1,0,1,1,2,1,1,4
PopulatedPlace,1,28,24,0,4,0,4,5,52,1,0,6,0,0,16,1,1,8,1,23,1,1,7,14,1,10,12,0,2,1,15,1,0,1,1,9,1,3,7,13,3,0,3,1,1,4,5,36,2,10,1,3,0,2,2,1,2,5,28,2,23,0,480,11,13,4,42,1,0,0
University,0,1,3,0,3,0,0,18,7,1,5,9,1,0,6,12,1,7,0,27,0,1,6,3,6,3,2,1,2,3,2,0,2,0,8,21,3,5,1,4,1,5,11,2,1,1,1,28,10,13,2,1,2,0,3,0,0,6,0,6,8,2,11,631,9,6,23,1,2,0
Language,2,2,2,2,7,1,4,6,1,0,0,1,1,0,2,1,1,1,0,2,0,1,2,2,9,0,0,0,7,1,44,0,0,0,3,2,1,0,1,10,0,0,5,2,3,9,0,3,2,0,0,1,2,1,2,0,0,15,4,2,4,0,18,3,727,3,16,2,16,1
SportsEvent,0,0,0,1,3,7,1,2,0,1,4,2,0,26,2,0,1,0,3,0,4,0,0,1,0,60,0,11,1,0,2,27,8,9,7,2,17,1,2,0,1,13,2,0,0,6,1,0,57,13,0,2,0,12,0,5,20,0,2,1,1,1,2,2,1,596,5,9,0,3
Country,1,18,40,18,2,0,3,7,3,1,3,12,1,0,4,2,2,0,0,6,1,1,4,6,8,4,4,0,8,2,79,1,0,3,2,28,2,1,28,6,8,4,1,2,4,5,25,11,28,0,1,0,0,2,1,0,0,5,18,6,27,1,48,18,39,5,385,0,3,2
Referee,0,0,0,0,2,0,0,0,0,0,6,1,0,1,1,1,0,0,0,1,5,0,0,0,2,11,0,0,0,1,0,3,1,1,3,16,6,3,1,0,0,12,1,0,0,2,0,0,6,3,0,0,0,23,3,5,5,1,0,2,2,0,1,2,0,20,1,804,0,1
Song,53,0,0,0,2,0,5,4,3,0,2,0,99,0,10,0,14,0,1,1,0,1,0,1,3,2,2,0,29,1,3,0,1,0,22,2,2,0,0,3,0,2,6,0,3,1,2,4,2,2,9,1,14,0,20,0,2,35,1,0,1,1,2,1,14,5,2,1,558,5
VideoGame,2,4,9,7,8,5,2,3,0,0,2,8,6,0,3,0,14,0,2,1,2,3,0,0,4,2,2,3,4,2,2,1,0,3,14,3,1,0,7,4,3,4,55,2,7,106,12,5,14,1,90,0,30,0,13,0,0,46,1,1,2,7,3,1,0,5,2,0,2,415
